Name,Value.availability,Value.cost,Value.dealership,Value.function,Value.location,Value.other,Value.participantid,Value.range,Value.reviewid,Value.sentiment,Value.servicetimes,Value.time,Value.userinteraction
183102n3,true,,true,,,,3,,183102,Negative,, 8/12/2019 @ 0:54:35,
183131n3,,,,true,,,3,,183131,Negative,, 9/12/2019 @ 20:2:38,
183152n3,true,,,,,,3,,183152,Positive,, 9/12/2019 @ 0:46:54,
183169n3,,,,true,,,3,,183169,Negative,, 3/12/2019 @ 9:10:20,
183212n3,,,true,,,,3,,183212,Negative,, 3/12/2019 @ 10:50:46,true
183233n3,true,,,,,,3,,183233,Negative,, 8/12/2019 @ 1:5:15,
183244n3,,,,,true,,3,,183244,Negative,, 7/12/2019 @ 21:0:25,
183249n3,,,,true,,,3,,183249,Negative,, 8/12/2019 @ 1:29:9,
183279n3,true,,,true,,,3,,183279,Positive,, 3/12/2019 @ 10:49:9,
183281n3,,,,true,,,3,,183281,Positive,, 5/12/2019 @ 0:9:56,true
183310n3,,,,true,,,3,,183310,Negative,, 1/12/2019 @ 12:30:50,
183330n3,,,,,,,3,,183330,Positive,true, 5/12/2019 @ 0:10:43,
183397n3,true,,,true,,,3,,183397,Negative,, 4/12/2019 @ 16:29:6,
183451n3,,,,true,,,3,,183451,Positive,, 1/12/2019 @ 12:38:7,
183466n3,true,true,true,,,,3,,183466,Positive,, 1/12/2019 @ 12:59:38,
183471n3,,,,true,,,3,,183471,Positive,, 3/12/2019 @ 8:48:0,
183486n3,,,true,true,,,3,,183486,Negative,, 8/12/2019 @ 1:22:58,true
183493n3,,,,true,true,,3,,183493,Negative,, 3/12/2019 @ 8:3:38,
183495n3,,,,,true,,3,,183495,Positive,true, 9/12/2019 @ 18:26:8,
183505n3,,,,true,true,,3,,183505,Negative,, 8/12/2019 @ 1:22:2,
183515n3,true,,true,true,,,3,,183515,Negative,, 9/12/2019 @ 19:52:52,
183520n3,true,true,,true,true,,3,,183520,Positive,, 1/12/2019 @ 13:13:15,
183556n3,,true,,true,,,3,,183556,Positive,, 3/12/2019 @ 8:24:7,
183576n3,,,true,,,,3,,183576,Positive,, 8/12/2019 @ 1:10:26,true
183634n3,,,,true,,,3,,183634,Negative,, 3/12/2019 @ 9:0:43,
183643n3,,,,true,,,3,,183643,Positive,, 1/12/2019 @ 12:31:4,
183648n3,,,,,true,,3,,183648,Positive,, 4/12/2019 @ 22:17:12,
183670n3,,,,true,,,3,,183670,Negative,, 3/12/2019 @ 9:2:46,
183692n3,,,,true,true,,3,,183692,Positive,true, 9/12/2019 @ 20:7:24,
183766n3,true,,,true,true,,3,,183766,Negative,, 5/12/2019 @ 0:32:31,
183781n3,true,,,,,,3,,183781,Positive,, 8/12/2019 @ 0:44:38,
183802n3,,,,true,,,3,,183802,Positive,, 9/12/2019 @ 18:1:28,
183810n3,true,,,,,,3,,183810,Negative,, 8/12/2019 @ 0:32:47,
183830n3,,,,,true,,3,,183830,Positive,, 9/12/2019 @ 0:7:30,true
183839n3,,,,,,,3,,183839,Positive,true, 9/12/2019 @ 19:40:34,
183844n3,,,,true,,,3,,183844,Positive,, 8/12/2019 @ 1:13:3,
183870n3,,,true,,,,3,,183870,Positive,true, 4/12/2019 @ 17:56:12,
183898n3,true,,,true,,,3,,183898,Positive,, 9/12/2019 @ 17:55:3,
183904n3,,,,true,,,3,,183904,Positive,, 8/12/2019 @ 0:49:46,
183917n3,,,,true,,,3,,183917,Negative,, 1/12/2019 @ 12:33:47,
183939n3,true,,,,,,3,,183939,Negative,, 8/12/2019 @ 23:52:24,
183947n3,true,,,,,,3,,183947,Negative,, 4/12/2019 @ 15:17:13,
183966n3,,,,true,,,3,,183966,Negative,, 4/12/2019 @ 17:48:51,
183979n3,,,,true,,,3,,183979,Negative,, 5/12/2019 @ 0:23:21,
183981n3,,,,,true,,3,,183981,Positive,, 3/12/2019 @ 8:7:57,
183999n3,true,,,,,,3,,183999,Positive,, 9/12/2019 @ 19:55:13,
184009n3,,,,,true,,3,,184009,Positive,, 4/12/2019 @ 23:33:52,
184011n3,,,,,true,,3,,184011,Positive,, 9/12/2019 @ 0:27:48,true
184015n3,true,,,,true,,3,,184015,Negative,, 9/12/2019 @ 1:5:15,
184034n3,,,,true,,,3,,184034,Negative,, 9/12/2019 @ 0:47:4,
184061n3,,,,,,,3,,184061,Positive,, 4/12/2019 @ 17:47:27,true
184065n3,true,,,,,,3,,184065,Negative,, 1/12/2019 @ 12:35:44,
184108n3,,,,,true,,3,,184108,Positive,, 9/12/2019 @ 20:12:30,
184116n3,,,true,true,,,3,,184116,Negative,, 6/12/2019 @ 21:48:14,
184121n3,,,,,true,,3,,184121,Positive,, 5/12/2019 @ 0:45:25,
184122n3,,,,,true,,3,,184122,Positive,, 9/12/2019 @ 1:4:56,
184148n3,,,,,true,,3,,184148,Positive,, 9/12/2019 @ 18:12:24,
184167n3,true,,,,,,3,,184167,Negative,, 1/12/2019 @ 12:55:44,
184193n3,,,,,true,,3,,184193,Negative,, 6/12/2019 @ 14:21:55,
184200n3,,true,true,,true,,3,,184200,Positive,, 8/12/2019 @ 0:17:25,
184239n3,,,,true,,,3,,184239,Positive,, 9/12/2019 @ 20:4:42,
184251n3,,true,,,true,,3,,184251,Positive,, 1/12/2019 @ 13:6:9,
184257n3,,,,true,,,3,,184257,Positive,, 9/12/2019 @ 1:28:55,
184263n3,,true,,,,,3,,184263,Positive,, 9/12/2019 @ 1:11:1,
184376n3,,,,true,,,3,true,184376,Positive,, 9/12/2019 @ 1:10:19,
184407n3,true,,,,,,3,,184407,Negative,, 6/12/2019 @ 19:54:55,
184421n3,,,,true,,,3,,184421,Negative,, 4/12/2019 @ 23:26:30,
184434n3,,,,,,,3,,184434,Positive,true, 9/12/2019 @ 20:0:1,
184436n3,,,,,true,,3,,184436,Positive,, 4/12/2019 @ 17:42:16,
184467n3,,,,true,,,3,,184467,Positive,, 8/12/2019 @ 0:36:55,
184469n3,,,,true,,,3,,184469,Positive,, 1/12/2019 @ 12:41:19,
184480n3,true,,true,,,,3,,184480,Negative,, 7/12/2019 @ 21:0:52,
184491n3,true,,true,,,,3,,184491,Negative,, 4/12/2019 @ 17:51:43,true
184575n3,,,,true,,,3,,184575,Positive,, 8/12/2019 @ 1:14:1,
184619n3,,,true,true,,,3,,184619,Positive,, 1/12/2019 @ 12:42:40,
184623n3,,,,,true,,3,,184623,Positive,, 1/12/2019 @ 22:53:55,
184692n3,,,,true,,,3,,184692,Positive,, 9/12/2019 @ 20:17:46,
184699n3,true,,,,,,3,,184699,Negative,, 4/12/2019 @ 23:27:57,
184717n3,,,,,true,,3,,184717,Positive,, 5/12/2019 @ 0:11:26,
184756n3,true,true,,,,,3,,184756,Negative,true, 3/12/2019 @ 8:1:39,
184784n3,,,,true,,,3,,184784,Positive,, 9/12/2019 @ 1:36:13,
184799n3,,,,true,,,3,,184799,Positive,, 8/12/2019 @ 0:48:10,
184800n3,,,,,,trueAwesome,3,,184800,Positive,, 8/12/2019 @ 0:54:2,
184804n3,true,,,,,,3,,184804,Negative,, 6/12/2019 @ 16:12:21,
184805n3,,,,,,,3,,184805,Negative,, 5/12/2019 @ 11:3:41,true
184824n3,,true,,,true,,3,,184824,Positive,, 6/12/2019 @ 14:21:19,
184828n3,,,,,,,3,,184828,Positive,true, 9/12/2019 @ 17:57:40,
184832n3,,,,,true,,3,,184832,Positive,, 6/12/2019 @ 20:16:24,
184843n3,true,,,,,,3,,184843,Positive,, 1/12/2019 @ 13:4:19,true
184845n3,,,,true,,,3,,184845,Negative,, 8/12/2019 @ 1:2:1,
184863n3,true,true,,,true,,3,,184863,Positive,, 1/12/2019 @ 13:7:59,
184869n3,true,,,,,,3,,184869,Positive,, 6/12/2019 @ 21:34:16,
184882n3,,,,true,,,3,,184882,Negative,, 5/12/2019 @ 10:31:11,
184897n3,,,,,true,,3,,184897,Negative,, 3/12/2019 @ 8:8:23,
184930n3,,true,true,true,,,3,,184930,Positive,true, 4/12/2019 @ 23:12:14,
184931n3,,,,,true,,3,,184931,Negative,, 1/12/2019 @ 12:27:3,
184952n3,,true,,true,true,,3,,184952,Positive,, 8/12/2019 @ 0:54:44,
184958n3,,,,,,,3,,184958,Positive,true, 5/12/2019 @ 10:7:22,
184966n3,true,,,,,,3,,184966,Positive,, 9/12/2019 @ 18:32:6,
184970n3,,,,,true,,3,,184970,Positive,, 6/12/2019 @ 21:12:36,
184982n3,,,,true,,,3,,184982,Negative,, 3/12/2019 @ 8:49:24,
185027n3,,,,,true,,3,,185027,Positive,true, 8/12/2019 @ 0:17:40,
185037n3,,,true,true,,,3,,185037,Negative,, 8/12/2019 @ 0:51:56,
185043n3,,,,true,,,3,,185043,Negative,, 4/12/2019 @ 23:11:59,
185048n3,,,,true,,,3,,185048,Negative,, 4/12/2019 @ 23:33:45,
185113n3,,,,,true,,3,,185113,Positive,, 9/12/2019 @ 20:18:57,
185171n3,,,true,,,,3,,185171,Positive,, 9/12/2019 @ 17:59:8,
185180n3,,,,true,,,3,,185180,Positive,, 4/12/2019 @ 22:23:12,
185197n3,,,,true,,,3,,185197,Positive,true, 5/12/2019 @ 10:26:53,
185219n3,,,,true,,,3,,185219,Negative,, 3/12/2019 @ 9:5:39,
185220n3,,,,true,,,3,,185220,Negative,, 4/12/2019 @ 17:56:24,
185246n3,true,,true,,true,,3,,185246,Positive,, 3/12/2019 @ 8:43:19,true
185250n3,,,,true,,,3,,185250,Negative,true, 3/12/2019 @ 11:33:35,
185255n3,,,,true,,,3,,185255,Negative,, 7/12/2019 @ 20:52:22,
185286n3,,,,true,,,3,,185286,Positive,, 9/12/2019 @ 18:27:50,
185290n3,true,,,,true,,3,,185290,Negative,, 8/12/2019 @ 22:48:53,true
185332n3,,,,true,,,3,,185332,Negative,, 4/12/2019 @ 17:35:35,
185405n3,,,,true,,,3,,185405,Positive,, 5/12/2019 @ 10:11:1,
185408n3,,,,true,,,3,,185408,Positive,, 6/12/2019 @ 14:31:58,
185436n3,,,,true,,,3,,185436,Negative,, 4/12/2019 @ 16:28:55,
185443n3,,,,true,true,,3,,185443,Positive,, 9/12/2019 @ 20:3:52,
185471n3,,,,true,,,3,,185471,Positive,, 5/12/2019 @ 10:57:5,
185483n3,,,,true,true,,3,,185483,Positive,, 3/12/2019 @ 8:25:20,
185536n3,,,true,true,,,3,,185536,Positive,, 7/12/2019 @ 20:57:10,
185541n3,,,,,,,3,,185541,Positive,, 9/12/2019 @ 1:27:28,true
185547n3,,,,,true,,3,,185547,Positive,, 9/12/2019 @ 17:59:0,
185588n3,,true,,,,,3,,185588,Positive,, 8/12/2019 @ 0:55:40,
185645n3,,,,true,,,3,,185645,Positive,, 4/12/2019 @ 17:49:43,
185647n3,,,,true,,,3,,185647,Positive,, 6/12/2019 @ 16:9:48,
185663n3,,,,true,,,3,,185663,Positive,, 3/12/2019 @ 8:11:39,
185667n3,,,,true,,,3,,185667,Negative,, 9/12/2019 @ 19:56:32,
185685n3,true,,,true,,,3,,185685,Negative,, 3/12/2019 @ 8:5:28,
185709n3,true,,,,true,,3,,185709,Negative,, 1/12/2019 @ 23:28:56,
185712n3,,,true,true,,,3,,185712,Positive,, 8/12/2019 @ 0:29:22,
185741n3,,,,,true,,3,,185741,Positive,, 1/12/2019 @ 12:51:46,
185746n3,,,,true,,,3,,185746,Negative,, 3/12/2019 @ 9:9:52,
185753n3,,,,true,,,3,,185753,Positive,, 8/12/2019 @ 0:29:26,
185769n3,,,,true,,,3,true,185769,Positive,true, 5/12/2019 @ 0:28:7,
185828n3,,,,true,,,3,,185828,Negative,, 5/12/2019 @ 11:12:10,
185881n3,,,,true,,,3,,185881,Positive,, 9/12/2019 @ 0:59:29,
185895n3,,,,true,,,3,,185895,Negative,, 4/12/2019 @ 17:52:43,
186015n3,,,,,true,,3,,186015,Positive,, 1/12/2019 @ 12:48:8,
186016n3,,,,true,,,3,,186016,Positive,true, 9/12/2019 @ 0:40:59,
186093n3,,,,true,,,3,,186093,Positive,, 4/12/2019 @ 17:53:50,
186145n3,,,,true,,,3,,186145,Negative,, 1/12/2019 @ 12:44:14,
186149n3,,,,true,,,3,,186149,Negative,, 8/12/2019 @ 22:48:23,
186150n1,,true,true,,true,,1,true,186150,Negative,, 29/11/2019 @ 17:45:4,
186150n2,,,,,,truedealership error,2,,186150,Negative,, 27/11/2019 @ 14:3:45,
186150n3,,,true,,,,3,,186150,Negative,, 30/11/2019 @ 20:25:41,true
186150n4,,,true,,true,,4,,186150,Negative,true, 1/12/2019 @ 14:33:1,
186150n5,,true,true,,true,,5,true,186150,Negative,, 1/12/2019 @ 18:56:17,true
186165n3,,,,,,,3,,186165,Positive,true, 3/12/2019 @ 8:28:45,
186208n3,,,true,,,,3,,186208,Positive,, 9/12/2019 @ 20:8:10,true
186210n3,,true,,true,,,3,,186210,Negative,, 5/12/2019 @ 10:48:0,
186211n3,,,,,true,,3,,186211,Positive,true, 5/12/2019 @ 11:47:38,
186218n3,,true,,,,,3,,186218,Positive,, 1/12/2019 @ 12:30:23,true
186220n3,,true,,,true,,3,,186220,Positive,, 8/12/2019 @ 1:9:54,
186227n3,,,,true,,,3,,186227,Positive,, 8/12/2019 @ 1:6:47,
186267n3,,,,,true,,3,,186267,Negative,, 3/12/2019 @ 8:3:23,
186292n3,true,,,,true,,3,,186292,Positive,, 5/12/2019 @ 11:25:28,
186312n3,,,,true,,,3,,186312,Positive,, 3/12/2019 @ 8:8:59,
186313n3,true,,,,,,3,,186313,Positive,, 8/12/2019 @ 0:25:44,
186322n3,,,,,,,3,,186322,Positive,, 3/12/2019 @ 10:52:49,true
186360n3,,,,,,,3,,186360,Positive,, 9/12/2019 @ 20:8:13,true
186452n3,true,,,,,,3,,186452,Negative,, 4/12/2019 @ 17:30:11,
186468n3,,,,true,,,3,,186468,Negative,, 6/12/2019 @ 21:42:19,
186472n3,true,,,,,,3,,186472,Negative,, 1/12/2019 @ 12:36:37,true
186497n3,,,true,,,,3,,186497,Negative,, 1/12/2019 @ 12:20:7,
186517n3,,,,,,trueCould not tell if it was a random number or related to something ,3,,186517,Positive,, 3/12/2019 @ 11:22:21,
186562n3,,,,true,,,3,,186562,Negative,, 1/12/2019 @ 12:56:3,
186586n3,,,,true,,,3,,186586,Negative,, 8/12/2019 @ 1:3:15,
186594n3,,,,true,,,3,,186594,Negative,, 3/12/2019 @ 9:8:48,
186599n3,,,,,true,,3,true,186599,Positive,, 4/12/2019 @ 23:26:27,
186600n3,,,,,true,,3,,186600,Positive,, 5/12/2019 @ 10:58:5,
186632n3,,,,true,,,3,,186632,Positive,, 5/12/2019 @ 0:32:48,
186652n3,,,,true,true,,3,,186652,Positive,, 5/12/2019 @ 11:4:17,
186666n3,true,,,true,true,,3,,186666,Positive,, 6/12/2019 @ 15:53:54,
186704n3,,,,,true,,3,,186704,Negative,, 9/12/2019 @ 0:58:29,
186728n3,true,,true,,,,3,,186728,Negative,true, 8/12/2019 @ 0:19:8,
186743n3,,,,true,,,3,,186743,Negative,, 8/12/2019 @ 0:51:1,
186762n3,,,,,,,3,,186762,Positive,true, 9/12/2019 @ 18:42:15,
186774n3,true,,,true,,,3,,186774,Positive,true, 1/12/2019 @ 13:10:35,
186788n3,true,,,,,,3,,186788,Positive,, 8/12/2019 @ 0:45:1,
186813n3,true,,,,,,3,,186813,Positive,, 6/12/2019 @ 15:17:7,
186842n3,,,,true,,,3,,186842,Negative,, 5/12/2019 @ 11:32:59,
186855n3,,,true,true,,,3,,186855,Negative,, 6/12/2019 @ 21:37:41,
186860n3,,,,,,,3,,186860,Positive,, 1/12/2019 @ 13:5:48,true
186877n3,true,,,,,,3,,186877,Negative,, 1/12/2019 @ 13:11:57,
186930n3,,,true,,,,3,,186930,Positive,, 5/12/2019 @ 11:20:55,
186949n3,true,,,true,,,3,,186949,Positive,, 9/12/2019 @ 1:15:18,
186962n3,,,,,,,3,,186962,Positive,true, 4/12/2019 @ 15:23:13,
186963n3,,true,,,,,3,,186963,Positive,, 5/12/2019 @ 10:37:46,
186965n3,,,,,true,,3,,186965,Positive,, 9/12/2019 @ 0:54:49,
186970n3,,,true,,,,3,,186970,Positive,, 8/12/2019 @ 0:16:34,true
187072n3,,,,true,,,3,,187072,Positive,, 6/12/2019 @ 21:58:4,
187102n3,true,,true,,,,3,,187102,Negative,, 9/12/2019 @ 18:41:52,true
187141n3,,,,,,,3,,187141,Positive,true, 8/12/2019 @ 1:28:9,
187157n3,,,true,,,,3,,187157,Positive,, 9/12/2019 @ 1:29:17,true
187160n3,true,,,,true,,3,,187160,Positive,, 9/12/2019 @ 19:55:42,
187205n3,,,,,true,,3,,187205,Negative,, 5/12/2019 @ 10:4:47,true
187214n3,,,,true,true,,3,,187214,Positive,, 5/12/2019 @ 10:23:55,
187277n3,,,,,,,3,,187277,Negative,, 6/12/2019 @ 15:22:34,true
187299n3,,,,,,,3,,187299,Positive,, 5/12/2019 @ 10:39:5,true
187331n3,,,true,,,,3,,187331,Positive,, 1/12/2019 @ 23:39:26,true
187333n3,,,,true,,,3,true,187333,Positive,, 8/12/2019 @ 23:26:9,
187335n3,true,,,,,,3,,187335,Positive,true, 4/12/2019 @ 17:55:16,
187343n3,,,,true,,,3,,187343,Positive,, 6/12/2019 @ 15:45:16,
187385n3,,,,,true,,3,,187385,Positive,, 4/12/2019 @ 23:27:12,
187416n3,,,true,,true,,3,,187416,Positive,, 9/12/2019 @ 19:59:45,
187442n3,,,,true,,,3,,187442,Positive,, 8/12/2019 @ 1:11:5,
187467n3,,,,true,,,3,,187467,Positive,, 5/12/2019 @ 10:7:18,
187502n3,true,,,true,,,3,,187502,Positive,true, 4/12/2019 @ 23:14:18,
187504n3,,,,true,,,3,,187504,Positive,, 4/12/2019 @ 22:20:56,
187533n3,,,,,,,3,,187533,Positive,, 1/12/2019 @ 12:36:1,true
187556n3,true,,,,,,3,,187556,Negative,, 1/12/2019 @ 23:41:41,
187562n3,,,,,true,,3,,187562,Positive,, 8/12/2019 @ 0:36:40,
187582n3,,,,true,true,,3,,187582,Positive,, 8/12/2019 @ 1:17:13,
187584n3,,,,true,,,3,,187584,Negative,, 3/12/2019 @ 9:2:5,
187647n3,,,,,,,3,,187647,Positive,, 8/12/2019 @ 1:19:38,true
187651n3,,,true,true,,,3,,187651,Negative,true, 5/12/2019 @ 0:25:34,
187656n3,,true,,true,,,3,,187656,Positive,, 6/12/2019 @ 15:26:39,
187727n3,,,,true,,,3,,187727,Positive,, 3/12/2019 @ 8:47:57,
187739n3,true,,,,,,3,,187739,Positive,, 9/12/2019 @ 1:5:7,
187785n3,,,,true,,,3,,187785,Positive,, 3/12/2019 @ 8:15:33,true
187864n3,,,,,true,,3,,187864,Positive,, 6/12/2019 @ 21:49:46,
187963n3,,,,true,,,3,,187963,Negative,, 5/12/2019 @ 10:57:18,
187964n3,,,,,true,,3,,187964,Positive,, 9/12/2019 @ 1:4:34,
187966n3,true,,,,,,3,,187966,Negative,, 8/12/2019 @ 0:37:28,
187968n3,,,,true,,,3,,187968,Positive,, 9/12/2019 @ 19:52:55,
187998n3,,,,true,,,3,,187998,Positive,, 3/12/2019 @ 8:51:8,
188056n3,,true,,,,,3,,188056,Positive,, 1/12/2019 @ 12:50:17,true
188061n3,true,,,true,,,3,,188061,Positive,, 9/12/2019 @ 18:27:46,true
188065n3,,,,,true,,3,,188065,Positive,, 4/12/2019 @ 23:13:20,
188073n3,,,,true,,,3,,188073,Negative,, 9/12/2019 @ 20:6:7,
188095n3,,true,,,,,3,,188095,Positive,, 5/12/2019 @ 0:23:46,
188125n3,,,,,true,,3,,188125,Positive,, 9/12/2019 @ 18:34:43,
188147n3,true,,,,,,3,,188147,Negative,, 8/12/2019 @ 0:34:31,
188158n3,,,,true,,,3,,188158,Positive,, 5/12/2019 @ 11:33:27,
188235n3,true,,,,,,3,,188235,Negative,, 4/12/2019 @ 17:51:51,
188278n3,,,,true,,,3,,188278,Negative,, 1/12/2019 @ 12:26:52,
188292n3,,,,,,,3,,188292,Positive,, 6/12/2019 @ 21:12:28,true
188308n3,,,,true,,,3,,188308,Negative,, 5/12/2019 @ 0:28:35,
188310n3,,,,true,,,3,,188310,Negative,, 9/12/2019 @ 18:40:40,
188330n3,,,,,,,3,,188330,Positive,, 1/12/2019 @ 23:29:8,true
188332n3,,,,,true,,3,,188332,Positive,, 3/12/2019 @ 9:1:10,
188338n3,true,,,,true,,3,,188338,Positive,, 8/12/2019 @ 23:52:20,true
188340n3,,,,true,,,3,,188340,Positive,, 6/12/2019 @ 15:26:30,
188353n3,,,,true,,,3,,188353,Positive,, 1/12/2019 @ 12:47:18,
188358n3,true,,,,,,3,,188358,Negative,, 1/12/2019 @ 12:57:0,
188363n3,,,,,true,,3,,188363,Positive,, 4/12/2019 @ 17:49:51,
188400n3,,,,true,,,3,,188400,Positive,, 8/12/2019 @ 0:48:40,
188430n3,,,,,,,3,,188430,Negative,, 6/12/2019 @ 21:32:3,true
188436n3,true,,,,,,3,,188436,Negative,, 8/12/2019 @ 0:44:10,
188463n3,true,,,,,,3,,188463,Negative,, 1/12/2019 @ 12:52:33,
188489n3,,true,true,true,,,3,,188489,Negative,, 9/12/2019 @ 20:7:14,
188500n3,,,true,true,,,3,,188500,Positive,true, 1/12/2019 @ 12:51:28,
188541n3,,,,,true,,3,,188541,Positive,, 3/12/2019 @ 8:55:42,
188551n3,,,,true,,,3,,188551,Positive,, 9/12/2019 @ 1:11:17,
188579n3,,,,true,true,,3,,188579,Negative,, 9/12/2019 @ 17:59:34,
188607n3,,,true,,,,3,,188607,Positive,, 3/12/2019 @ 11:19:31,true
188669n3,true,,,,,,3,,188669,Negative,, 8/12/2019 @ 0:32:51,
188715n3,,,,true,,,3,,188715,Positive,, 9/12/2019 @ 0:50:19,
188741n3,,,,true,,,3,,188741,Negative,, 8/12/2019 @ 0:28:23,
188770n3,,,,,true,,3,true,188770,Positive,, 9/12/2019 @ 17:54:55,
188772n3,true,,,true,,,3,,188772,Positive,, 9/12/2019 @ 18:46:30,
188802n3,,,,true,,,3,,188802,Negative,, 9/12/2019 @ 20:8:59,
188866n3,,,,,true,,3,,188866,Positive,, 9/12/2019 @ 19:57:25,
188870n3,,,,,true,,3,true,188870,Positive,, 1/12/2019 @ 12:27:37,
188951n3,,,,,true,,3,true,188951,Positive,, 1/12/2019 @ 23:32:10,
189009n3,,,,true,,,3,,189009,Negative,, 6/12/2019 @ 21:37:27,
189023n3,,,,,,,3,,189023,Positive,, 9/12/2019 @ 1:31:2,true
189069n3,,,,true,,,3,,189069,Positive,, 4/12/2019 @ 17:57:7,
189080n3,,,,true,,,3,,189080,Positive,true, 4/12/2019 @ 23:54:54,
189110n3,,,true,true,,,3,,189110,Positive,, 3/12/2019 @ 10:55:48,
189124n3,,,true,,,,3,,189124,Negative,true, 1/12/2019 @ 13:10:54,
189125n3,true,,,,,,3,,189125,Negative,, 1/12/2019 @ 12:30:56,
189202n3,true,,,,,,3,,189202,Negative,, 3/12/2019 @ 8:11:52,true
189221n3,,,,true,,,3,,189221,Negative,, 4/12/2019 @ 17:50:56,
189335n3,true,true,,,,,3,,189335,Positive,, 3/12/2019 @ 8:35:22,
189347n3,,,,,,,3,,189347,Positive,, 4/12/2019 @ 15:35:47,true
189365n3,,,true,,,,3,,189365,Positive,, 3/12/2019 @ 10:58:15,true
189383n3,,,true,true,,,3,,189383,Positive,, 4/12/2019 @ 23:26:21,
189476n3,true,,,true,,,3,,189476,Negative,, 6/12/2019 @ 21:58:34,true
189542n3,,,,true,,,3,,189542,Positive,, 5/12/2019 @ 11:4:9,
189589n3,,,,true,,,3,,189589,Negative,, 8/12/2019 @ 1:26:1,
189681n3,,,,,,,3,,189681,Positive,, 4/12/2019 @ 15:23:27,true
189690n3,true,,,,,,3,,189690,Negative,, 4/12/2019 @ 16:29:19,
189756n3,true,,,,true,,3,,189756,Negative,, 5/12/2019 @ 0:32:18,
189781n1,,,,,,,1,true,189781,Positive,, 29/11/2019 @ 17:9:1,
189781n2,,,,,,,2,true,189781,Positive,, 27/11/2019 @ 13:57:35,
189781n3,,,,,true,,3,true,189781,Positive,, 30/11/2019 @ 20:11:18,
189781n4,,,,,true,,4,,189781,Positive,, 1/12/2019 @ 14:18:53,
189781n5,,,,,true,,5,true,189781,Positive,, 1/12/2019 @ 18:38:36,
189784n3,,,,,true,,3,,189784,Negative,, 1/12/2019 @ 23:33:3,
189837n3,,true,true,true,,,3,,189837,Positive,, 1/12/2019 @ 12:31:47,
189847n3,,,,,true,,3,,189847,Positive,, 8/12/2019 @ 1:0:8,
189853n3,,,true,,true,,3,,189853,Positive,, 4/12/2019 @ 17:35:8,
189860n3,,,,,true,,3,,189860,Positive,, 9/12/2019 @ 19:55:17,
189877n3,,,,,,,3,,189877,Positive,, 4/12/2019 @ 17:56:43,true
189899n3,,,,true,,,3,,189899,Positive,true, 6/12/2019 @ 22:9:27,
189928n3,,,,true,,,3,,189928,Positive,, 1/12/2019 @ 12:23:17,
189954n3,,,,,,,3,,189954,Positive,, 8/12/2019 @ 0:31:1,true
189967n3,,,true,,,Thank you,3,,189967,Positive,, 1/12/2019 @ 23:1:31,
189995n3,,,,,,,3,,189995,Positive,, 9/12/2019 @ 0:49:51,true
190003n3,true,,,true,true,,3,,190003,Positive,, 5/12/2019 @ 10:7:11,
190033n3,,,,true,,,3,,190033,Positive,, 1/12/2019 @ 23:34:34,
190035n3,true,,true,,,,3,,190035,Negative,, 1/12/2019 @ 23:32:1,
190102n3,,,,,true,,3,,190102,Positive,, 8/12/2019 @ 1:0:45,
190110n3,true,,,,,,3,,190110,Negative,, 6/12/2019 @ 20:9:44,
190126n3,true,,,true,,,3,,190126,Positive,, 5/12/2019 @ 10:12:11,
190136n3,,,,,,,3,,190136,Positive,, 9/12/2019 @ 20:10:33,true
190147n3,true,,,true,true,,3,,190147,Negative,, 3/12/2019 @ 8:25:42,
190275n3,,,,,,,3,,190275,Positive,, 1/12/2019 @ 12:59:50,true
190377n3,,,,,,trueKman?,3,,190377,Positive,, 8/12/2019 @ 1:8:58,
190379n3,,,,,,trueKman?,3,,190379,Positive,, 5/12/2019 @ 10:39:1,
190387n1,,,,,,,1,true,190387,Negative,, 29/11/2019 @ 18:2:0,
190387n2,,,,,,,2,true,190387,Positive,, 27/11/2019 @ 14:18:8,
190387n3,,,,,,,3,true,190387,Positive,, 6/12/2019 @ 15:2:54,
190387n4,,,,,true,,4,true,190387,Positive,, 1/12/2019 @ 21:35:24,
190387n5,,,,,,,5,true,190387,Positive,, 1/12/2019 @ 19:24:39,
190392n3,true,,,,,,3,,190392,Positive,, 1/12/2019 @ 12:31:9,
190410n3,,,,,true,,3,,190410,Positive,, 6/12/2019 @ 16:12:34,
190466n3,,true,,,true,,3,,190466,Positive,, 5/12/2019 @ 10:32:12,
190469n1,,true,true,,,,1,,190469,Positive,, 29/11/2019 @ 17:53:9,
190469n2,,true,,true,,,2,,190469,Positive,, 27/11/2019 @ 14:9:19,
190469n3,,,,,,,3,,190469,Positive,, 30/11/2019 @ 22:1:23,true
190469n4,,true,,true,,,4,,190469,Positive,, 1/12/2019 @ 14:56:26,
190469n5,,true,true,true,true,,5,,190469,Positive,, 1/12/2019 @ 19:12:22,true
190471n3,,,,true,,,3,,190471,Positive,, 4/12/2019 @ 17:58:39,
190476n3,,true,,,true,,3,,190476,Positive,, 3/12/2019 @ 8:23:27,
190490n3,,,,true,,,3,,190490,Negative,, 9/12/2019 @ 19:32:58,
190507n3,,,,,,,3,true,190507,Positive,, 5/12/2019 @ 11:20:49,true
190537n3,true,,,,,,3,,190537,Positive,, 5/12/2019 @ 10:12:1,
190566n3,,,,true,,,3,,190566,Negative,, 1/12/2019 @ 23:40:51,
